                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4943,                 1.4995,                 1.2097,                0.80908,                0.49456,                0.48287,                 0.2376,                 1.6681,                 1.2559,                 1.3753,             0.00047596,             0.00047596,             0.00047596
                      2,                 1.4606,                 1.0945,                 1.2029,                0.84685,                0.50829,                0.52073,                0.26381,                  1.661,                 1.1363,                 1.3532,             0.00092087,             0.00092087,             0.00092087
                      3,                 1.4474,                 1.0397,                 1.2008,                0.83048,                0.52029,                 0.5025,                0.26039,                  1.574,                 1.1521,                 1.3198,              0.0013343,              0.0013343,              0.0013343
                      4,                 1.4224,                0.98957,                 1.1911,                0.83565,                0.52922,                 0.5297,                0.28174,                 1.5437,                  1.081,                 1.3111,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.3957,                0.95178,                 1.1752,                0.84961,                0.54424,                0.54147,                0.28746,                 1.5764,                 1.0312,                 1.3136,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.3767,                 0.9228,                 1.1663,                0.84644,                0.54181,                0.55009,                0.29794,                 1.5339,                 1.0309,                 1.2895,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.3608,                 0.9013,                 1.1598,                0.84635,                0.55139,                0.55134,                0.30301,                 1.5071,                0.99809,                 1.2779,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.3534,                0.88309,                 1.1528,                0.85145,                0.54244,                 0.5547,                0.30952,                 1.5086,                0.99319,                 1.2804,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.3437,                0.86958,                 1.1481,                0.84782,                0.55387,                 0.5578,                0.31435,                 1.4701,                0.99338,                 1.2617,              0.0010517,              0.0010517,              0.0010517
                     10,                  1.331,                0.85917,                 1.1443,                0.85253,                0.55016,                0.56111,                0.31615,                 1.4533,                0.97498,                 1.2488,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.3256,                0.84379,                 1.1382,                0.85372,                0.54997,                0.56048,                0.31609,                 1.4701,                0.96501,                 1.2578,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.3096,                0.83531,                 1.1334,                0.85421,                0.55327,                 0.5644,                0.32576,                 1.4351,                0.95129,                 1.2436,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.3059,                0.82224,                 1.1311,                0.85429,                0.55449,                0.56652,                0.32495,                 1.4483,                0.97393,                  1.257,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.2961,                0.81123,                 1.1251,                0.85213,                0.56268,                0.57098,                0.33236,                 1.4411,                0.93929,                 1.2473,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.2872,                0.79956,                 1.1226,                0.85281,                0.56354,                0.57399,                0.33466,                 1.4265,                0.93828,                 1.2402,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.2827,                0.79313,                 1.1197,                 0.8464,                0.56824,                0.57106,                0.33524,                 1.4308,                0.93292,                 1.2327,             0.00072164,             0.00072164,             0.00072164
                     17,                 1.2725,                0.78006,                 1.1137,                0.85354,                 0.5645,                0.57384,                 0.3374,                 1.4256,                0.91971,                  1.232,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.2667,                0.77537,                 1.1111,                 0.8556,                0.56574,                0.57699,                0.34209,                 1.4146,                0.90712,                 1.2252,             0.00062733,             0.00062733,             0.00062733
                     19,                 1.2661,                0.76995,                 1.1108,                0.85201,                0.57064,                0.57911,                0.34243,                 1.4103,                0.90673,                 1.2251,             0.00058017,             0.00058017,             0.00058017
                     20,                 1.2498,                0.75723,                 1.1019,                0.85434,                0.56645,                0.58075,                0.34434,                 1.4077,                0.90133,                 1.2241,             0.00053302,             0.00053302,             0.00053302
                     21,                 1.2518,                0.71207,                 1.1186,                0.85035,                0.57291,                0.57978,                0.34572,                 1.4065,                0.90262,                 1.2269,             0.00048586,             0.00048586,             0.00048586
                     22,                 1.2419,                0.70129,                 1.1161,                0.85456,                0.56717,                0.58164,                0.34957,                 1.4067,                0.88476,                 1.2278,              0.0004387,              0.0004387,              0.0004387
